EmployeeID,Name,Department,JobRole,Age,Gender,Education,EducationField,MaritalStatus,HireDate,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,MonthlyIncome,PerformanceRating,JobSatisfaction,Attrition,OverTime,TrainingTimesLastYear
169,Employee_169,Finance,Developer,29,Other,Bachelors,Other,Divorced,2009-06-06,5,4,1,13,13912,1,2,No,No,5
170,Employee_170,HR,Executive,53,Other,High School,Human Resources,Single,2008-07-07,5,0,0,3,14585,4,4,No,No,8
171,Employee_171,HR,Analyst,37,Other,Bachelors,Medical,Single,2008-03-19,6,11,4,4,12201,1,4,Yes,No,8
172,Employee_172,Finance,Team Lead,47,Female,PhD,Life Sciences,Divorced,2016-03-12,22,7,0,8,16495,1,2,Yes,No,9
173,Employee_173,Operations,Consultant,21,Other,Bachelors,Medical,Single,2022-05-24,20,13,1,11,17598,3,1,No,No,5
174,Employee_174,Operations,Analyst,25,Male,PhD,Human Resources,Married,2009-01-03,18,6,0,7,9254,3,2,No,No,0
175,Employee_175,IT,Developer,32,Male,Bachelors,Other,Divorced,2010-11-06,5,7,9,6,18834,1,2,No,No,2
176,Employee_176,HR,Analyst,45,Female,PhD,Other,Divorced,2005-03-29,2,2,7,14,7432,3,4,Yes,No,1
177,Employee_177,HR,Executive,45,Other,PhD,Life Sciences,Divorced,2022-04-19,20,14,7,12,16986,3,2,Yes,No,6
178,Employee_178,Marketing,Executive,32,Female,Masters,Other,Single,2013-08-15,18,6,0,10,7402,5,2,No,No,0
179,Employee_179,Marketing,Manager,31,Female,High School,Marketing,Divorced,2010-11-24,5,13,6,2,18028,3,2,Yes,No,3
180,Employee_180,Sales,Executive,50,Other,Bachelors,Technical Degree,Single,2022-08-30,19,6,2,4,9451,5,4,No,No,0
181,Employee_181,Sales,Team Lead,47,Male,Bachelors,Life Sciences,Single,2011-02-18,24,1,2,11,7294,2,2,No,Yes,2
182,Employee_182,HR,Executive,37,Male,High School,Marketing,Married,2007-06-03,1,2,1,6,14255,5,3,No,No,3
183,Employee_183,Operations,Executive,50,Other,PhD,Other,Single,2007-07-22,6,11,1,1,19804,5,4,No,No,5
184,Employee_184,HR,Analyst,23,Other,Masters,Human Resources,Married,2019-03-30,4,5,9,1,17998,1,4,No,Yes,0
185,Employee_185,Finance,Developer,31,Other,High School,Life Sciences,Married,2010-04-08,24,3,5,11,12856,2,2,No,No,0
186,Employee_186,IT,Executive,53,Other,Bachelors,Medical,Married,2002-05-16,9,3,4,4,5807,2,4,No,No,5
187,Employee_187,Finance,Team Lead,29,Other,High School,Other,Married,2001-11-24,20,0,5,8,15520,4,1,Yes,No,8
188,Employee_188,Operations,Developer,38,Male,Masters,Technical Degree,Married,2009-04-28,12,12,9,9,5810,2,2,No,Yes,5
189,Employee_189,Operations,Executive,21,Female,Masters,Other,Single,2017-03-05,11,7,2,2,11014,4,4,No,No,1
190,Employee_190,HR,Developer,26,Female,PhD,Medical,Single,2017-08-23,4,1,6,0,8756,4,2,Yes,Yes,1
191,Employee_191,Marketing,Team Lead,54,Male,Bachelors,Medical,Married,2009-07-01,11,5,9,10,16246,5,2,No,No,1
192,Employee_192,Sales,Analyst,25,Other,Bachelors,Technical Degree,Single,2019-08-19,17,9,3,6,9706,5,2,No,No,4
193,Employee_193,Operations,Analyst,23,Other,PhD,Medical,Single,2010-11-12,2,9,1,11,11343,1,1,No,No,0
194,Employee_194,IT,Manager,46,Female,PhD,Human Resources,Married,2015-03-18,21,14,6,8,7524,1,4,No,No,4
195,Employee_195,Marketing,Team Lead,57,Other,High School,Medical,Divorced,2022-03-07,3,10,3,5,6947,3,3,No,No,7
196,Employee_196,HR,Consultant,26,Female,High School,Human Resources,Single,2012-05-20,10,0,0,13,18409,4,1,No,Yes,8
197,Employee_197,IT,Executive,31,Male,High School,Medical,Single,2019-08-26,18,0,8,5,19970,3,1,Yes,Yes,6
198,Employee_198,Operations,Consultant,31,Male,High School,Other,Divorced,2002-01-08,20,14,0,3,19921,1,3,No,No,1
199,Employee_199,IT,Consultant,58,Female,PhD,Human Resources,Single,2019-05-04,24,9,0,7,11651,2,1,No,Yes,4
200,Employee_200,Sales,Executive,36,Other,Masters,Life Sciences,Single,2020-04-17,2,1,6,1,15388,3,1,No,No,3
201,Employee_201,IT,Manager,40,Female,Masters,Human Resources,Divorced,2013-02-23,6,5,6,11,19164,1,2,No,No,2
202,Employee_202,HR,Team Lead,40,Female,High School,Other,Married,2004-04-15,8,3,8,5,12178,5,3,Yes,No,6
203,Employee_203,Sales,Developer,46,Male,High School,Technical Degree,Married,2003-11-27,3,10,4,9,11271,4,3,Yes,Yes,1
204,Employee_204,HR,Developer,55,Female,PhD,Medical,Single,2005-09-20,22,7,1,6,18846,3,4,No,No,3
205,Employee_205,IT,Consultant,45,Male,High School,Other,Single,2020-03-22,22,6,7,1,19156,1,1,No,No,7
206,Employee_206,Operations,Analyst,50,Male,Bachelors,Life Sciences,Married,2011-12-11,10,3,2,4,6845,3,4,No,Yes,1
207,Employee_207,HR,Developer,45,Male,Masters,Medical,Married,2009-09-06,18,12,4,3,7873,3,3,No,No,4
208,Employee_208,Marketing,Developer,30,Female,High School,Other,Single,2001-01-04,0,3,5,0,14232,1,3,No,No,5
209,Employee_209,IT,Consultant,55,Female,High School,Human Resources,Divorced,2009-10-01,3,12,2,13,10311,1,3,Yes,No,6
210,Employee_210,Operations,Consultant,47,Other,Masters,Medical,Divorced,2003-09-28,8,4,5,5,11133,4,3,No,Yes,7
211,Employee_211,Finance,Team Lead,24,Other,Masters,Other,Married,2019-04-18,9,11,4,8,8822,3,3,No,No,1
212,Employee_212,Finance,Consultant,36,Male,Bachelors,Marketing,Married,2010-09-21,6,14,6,4,11699,2,2,No,No,6
213,Employee_213,Marketing,Team Lead,49,Other,Bachelors,Life Sciences,Single,2013-03-09,21,6,9,3,8222,3,1,Yes,Yes,9
214,Employee_214,Finance,Manager,55,Other,PhD,Other,Divorced,2013-02-04,20,14,1,12,6666,5,3,No,Yes,9
215,Employee_215,Finance,Consultant,41,Male,Bachelors,Marketing,Divorced,2011-05-05,15,9,7,1,8486,1,4,Yes,No,8
